date,nortot,count,type,Daycount,Day
3/23/2021,2,,positive,1,43
3/23/2021,,2,presumed,1,43
3/23/2021,,,traced,1,43
3/24/2021,2,,positive,2,44
3/24/2021,,2,presumed,2,44
3/24/2021,,,traced,2,44
3/25/2021,2,,positive,3,45
3/25/2021,,2,presumed,3,45
3/25/2021,,,traced,3,45
3/26/2021,3,1,positive,4,46
3/26/2021,,2,presumed,4,46
3/26/2021,,,traced,4,46
3/27/2021,2,1,positive,5,47
3/27/2021,,1,presumed,5,47
3/27/2021,,,traced,5,47
3/28/2021,3,1,positive,6,48
3/28/2021,,2,presumed,6,48
3/28/2021,,,traced,6,48
3/29/2021,4,2,positive,7,49
3/29/2021,,2,presumed,7,49
3/29/2021,,,traced,7,49
3/30/2021,4,2,positive,8,50
3/30/2021,,2,presumed,8,50
3/30/2021,,,traced,8,50
3/31/2021,9,7,positive,9,51
3/31/2021,,2,presumed,9,51
3/31/2021,,,traced,9,51
4/1/2021,10,8,positive,10,52
4/1/2021,,2,presumed,10,52
4/1/2021,,,traced,10,52
4/2/2021,12,10,positive,11,53
4/2/2021,,2,presumed,11,53
4/2/2021,,,traced,11,53
4/3/2021,12,11,positive,12,54
4/3/2021,,1,presumed,12,54
4/3/2021,,,traced,12,54
4/4/2021,12,11,positive,13,55
4/4/2021,,1,presumed,13,55
4/4/2021,,,traced,13,55
4/5/2021,9,8,positive,14,56
4/5/2021,,1,presumed,14,56
4/5/2021,,,traced,14,56
4/6/2021,10,9,positive,15,57
4/6/2021,,1,presumed,15,57
4/6/2021,,,traced,15,57
4/7/2021,11,11,positive,16,58
4/7/2021,,,presumed,16,58
4/7/2021,,,traced,16,58
4/8/2021,12,12,positive,17,59
4/8/2021,,,presumed,17,59
4/8/2021,,,traced,17,59
4/9/2021,11,11,positive,18,60
4/9/2021,,,presumed,18,60
4/9/2021,,,traced,18,60
4/10/2021,11,11,positive,19,61
4/10/2021,,,presumed,19,61
4/10/2021,,,traced,19,61
4/11/2021,6,6,positive,20,62
4/11/2021,,,presumed,20,62
4/11/2021,,,traced,20,62
4/12/2021,5,5,positive,21,63
4/12/2021,,,presumed,21,63
4/12/2021,,,traced,21,63
4/13/2021,2,2,positive,22,64
4/13/2021,,,presumed,22,64
4/13/2021,,,traced,22,64
4/14/2021,3,3,positive,23,65
4/14/2021,,,presumed,23,65
4/14/2021,,,traced,23,65
4/15/2021,3,3,positive,24,66
4/15/2021,,,presumed,24,66
4/15/2021,,,traced,24,66
4/16/2021,10,6,positive,25,67
4/16/2021,,1,presumed,25,67
4/16/2021,,3,traced,25,67
4/17/2021,19,14,positive,26,68
4/17/2021,,1,presumed,26,68
4/17/2021,,4,traced,26,68
4/18/2021,19,14,positive,27,69
4/18/2021,,1,presumed,27,69
4/18/2021,,4,traced,27,69
4/19/2021,20,15,positive,28,70
4/19/2021,,1,presumed,28,70
4/19/2021,,4,traced,28,70
4/20/2021,20,15,positive,29,71
4/20/2021,,1,presumed,29,71
4/20/2021,,4,traced,29,71
